user_id,test_group,credit_score_bucket,income_level,has_login,has_viewed_dashboard,has_clicked_credit_health,has_started_app,has_submitted_app,is_converted,application_amount
USER_00000,control,Fair,Low,1,1,0,0,0,0,
USER_00001,treatment,Good,Medium,1,1,0,0,0,0,
USER_00002,treatment,Fair,Medium,1,1,1,0,0,0,
USER_00003,treatment,Fair,Medium,1,1,1,0,0,0,
USER_00004,treatment,Good,High,1,1,1,0,0,0,
USER_00005,treatment,Excellent,Low,1,1,0,0,0,0,
USER_00006,treatment,Good,Medium,1,1,1,0,0,0,
USER_00007,treatment,Excellent,Low,1,1,1,1,1,1,16402.0
USER_00008,control,Good,Low,1,1,1,0,0,0,
USER_00009,treatment,Good,Medium,1,1,1,1,1,1,16145.0
USER_00010,treatment,Poor,Low,1,1,0,0,0,0,
USER_00011,control,Fair,Medium,1,1,0,0,0,0,
USER_00012,treatment,Good,High,1,1,1,0,0,0,
USER_00013,control,Good,High,1,1,0,0,0,0,
USER_00014,treatment,Good,Low,1,1,1,0,0,0,
USER_00015,control,Poor,Medium,1,1,0,0,0,0,
USER_00016,control,Fair,Medium,1,1,0,0,0,0,
USER_00017,control,Fair,Medium,1,1,1,0,0,0,
USER_00018,treatment,Excellent,Medium,1,1,1,1,1,1,10047.0
USER_00019,treatment,Excellent,Medium,1,1,1,1,1,1,7252.0
USER_00020,treatment,Fair,High,1,1,1,0,0,0,
USER_00021,treatment,Excellent,High,1,1,1,1,1,1,6264.0
USER_00022,treatment,Good,Medium,1,1,1,0,0,0,
USER_00023,control,Excellent,Medium,1,1,0,0,0,0,
USER_00024,treatment,Fair,Medium,1,1,1,0,0,0,
USER_00025,treatment,Excellent,Medium,1,1,1,0,0,0,
USER_00026,control,Fair,Low,1,1,0,0,0,0,
USER_00027,treatment,Excellent,Low,1,1,1,1,1,1,16734.0
USER_00028,control,Fair,Low,1,1,0,0,0,0,
USER_00029,control,Good,Medium,1,1,1,0,0,0,
USER_00030,treatment,Excellent,Medium,1,1,0,0,0,0,
USER_00031,control,Excellent,Low,1,1,0,0,0,0,
USER_00032,treatment,Good,High,1,1,1,0,0,0,
USER_00033,treatment,Fair,Medium,1,1,1,0,0,0,
USER_00034,control,Good,Medium,1,1,1,0,0,0,
USER_00035,control,Good,High,1,1,0,0,0,0,
USER_00036,control,Excellent,High,1,1,0,0,0,0,
USER_00037,control,Good,Medium,1,1,0,0,0,0,
USER_00038,control,Excellent,Medium,1,1,0,0,0,0,
USER_00039,treatment,Fair,Medium,1,1,0,0,0,0,
USER_00040,treatment,Fair,Medium,1,1,1,0,0,0,
USER_00041,control,Excellent,Low,1,1,1,0,0,0,
USER_00042,treatment,Fair,Medium,1,1,1,0,0,0,
USER_00043,treatment,Poor,Medium,1,1,1,1,1,1,15084.0
USER_00044,treatment,Good,Medium,1,1,1,1,1,1,5296.0
USER_00045,treatment,Fair,Medium,1,1,0,0,0,0,
USER_00046,treatment,Excellent,Medium,1,1,1,0,0,0,
USER_00047,control,Good,High,1,1,1,0,0,0,
USER_00048,treatment,Good,Medium,1,1,1,0,0,0,
USER_00049,control,Good,Low,1,1,1,0,0,0,
USER_00050,treatment,Fair,Medium,1,1,1,1,1,1,12528.0
USER_00051,control,Excellent,Low,1,1,1,0,0,0,
USER_00052,treatment,Excellent,Medium,1,1,1,1,1,1,11560.0
USER_00053,control,Good,Medium,1,1,0,0,0,0,
USER_00054,treatment,Fair,Medium,1,1,1,0,0,0,
USER_00055,treatment,Fair,High,1,1,0,0,0,0,
USER_00056,treatment,Good,Medium,1,1,1,1,1,1,7489.0
USER_00057,treatment,Good,Low,1,1,1,0,0,0,
USER_00058,treatment,Poor,Low,1,1,1,1,1,1,19612.0
USER_00059,control,Fair,Low,1,1,0,0,0,0,
USER_00060,control,Excellent,Medium,1,1,1,0,0,0,
USER_00061,control,Excellent,Medium,1,1,0,0,0,0,
USER_00062,control,Poor,Medium,1,1,0,0,0,0,
USER_00063,control,Fair,Medium,1,1,1,0,0,0,
USER_00064,treatment,Fair,Low,1,1,1,0,0,0,
USER_00065,control,Good,Medium,1,1,1,0,0,0,
USER_00066,control,Fair,Medium,1,1,0,0,0,0,
USER_00067,control,Fair,Medium,1,1,1,0,0,0,
USER_00068,treatment,Good,High,1,1,0,0,0,0,
USER_00069,treatment,Excellent,Low,1,1,1,0,0,0,
USER_00070,control,Good,Medium,1,1,0,0,0,0,
USER_00071,treatment,Good,High,1,1,1,1,1,1,14639.0
USER_00072,control,Good,Medium,1,1,1,0,0,0,
USER_00073,treatment,Good,Medium,1,1,1,1,1,1,12431.0
USER_00074,control,Fair,Medium,1,1,1,0,0,0,
USER_00075,control,Fair,Low,1,1,1,0,0,0,
USER_00076,control,Excellent,High,1,1,0,0,0,0,
USER_00077,control,Fair,High,1,1,0,0,0,0,
USER_00078,control,Good,Medium,1,1,0,0,0,0,
USER_00079,control,Good,Medium,1,1,1,0,0,0,
USER_00080,control,Poor,Medium,1,1,0,0,0,0,
USER_00081,treatment,Excellent,Medium,1,1,1,1,1,1,17374.0
USER_00082,treatment,Fair,Medium,1,1,1,0,0,0,
USER_00083,control,Good,Medium,1,1,1,0,0,0,
USER_00084,treatment,Fair,Medium,1,1,1,0,0,0,
USER_00085,control,Good,High,1,1,1,0,0,0,
USER_00086,control,Good,Medium,1,1,1,0,0,0,
USER_00087,control,Good,High,1,1,1,0,0,0,
USER_00088,treatment,Excellent,Medium,1,1,1,0,0,0,
USER_00089,control,Excellent,High,1,1,0,0,0,0,
USER_00090,control,Fair,Low,1,1,1,0,0,0,
USER_00091,treatment,Good,Medium,1,1,1,0,0,0,
USER_00092,treatment,Poor,Medium,1,1,1,0,0,0,
USER_00093,treatment,Excellent,Medium,1,1,1,1,1,1,19002.0
USER_00094,control,Good,Medium,1,1,0,0,0,0,
USER_00095,control,Good,Medium,1,1,1,0,0,0,
USER_00096,control,Fair,High,1,1,1,0,0,0,
USER_00097,control,Excellent,Medium,1,1,1,0,0,0,
USER_00098,control,Excellent,Medium,1,1,1,0,0,0,
USER_00099,treatment,Poor,Medium,1,1,1,0,0,0,
USER_00100,treatment,Excellent,High,1,1,0,0,0,0,
USER_00101,treatment,Fair,Medium,1,1,1,0,0,0,
USER_00102,control,Fair,Medium,1,1,0,0,0,0,
USER_00103,treatment,Good,High,1,1,1,0,0,0,
USER_00104,control,Excellent,Medium,1,1,0,0,0,0,
USER_00105,treatment,Fair,High,1,1,1,0,0,0,
USER_00106,control,Excellent,Low,1,1,1,0,0,0,
USER_00107,treatment,Fair,Low,1,1,0,0,0,0,
USER_00108,control,Fair,High,1,1,0,0,0,0,
USER_00109,treatment,Fair,Medium,1,1,1,0,0,0,
USER_00110,treatment,Fair,Medium,1,1,1,0,0,0,
USER_00111,control,Excellent,Medium,1,1,1,0,0,0,
USER_00112,treatment,Fair,Medium,1,1,1,0,0,0,
USER_00113,control,Good,High,1,1,0,0,0,0,
USER_00114,treatment,Good,Medium,1,1,0,0,0,0,
USER_00115,treatment,Poor,Medium,1,1,1,0,0,0,
USER_00116,control,Fair,Medium,1,1,0,0,0,0,
USER_00117,control,Good,Medium,1,1,0,0,0,0,
USER_00118,treatment,Good,Low,1,1,1,1,1,1,19592.0
USER_00119,control,Good,Low,1,1,1,0,0,0,
USER_00120,treatment,Excellent,Low,1,1,1,1,1,1,5620.0
USER_00121,control,Fair,Low,1,1,0,0,0,0,
USER_00122,treatment,Excellent,Medium,1,1,1,0,0,0,
USER_00123,control,Good,Low,1,1,0,0,0,0,
USER_00124,control,Excellent,Medium,1,1,0,0,0,0,
USER_00125,treatment,Good,Medium,1,1,1,1,1,1,13089.0
USER_00126,treatment,Excellent,High,1,1,0,0,0,0,
USER_00127,treatment,Excellent,Low,1,1,1,0,0,0,
USER_00128,treatment,Fair,Medium,1,1,1,1,1,1,5825.0
USER_00129,treatment,Poor,Medium,1,1,1,1,1,1,16287.0
USER_00130,control,Poor,Medium,1,1,1,0,0,0,
USER_00131,treatment,Poor,Medium,1,1,1,0,0,0,
USER_00132,treatment,Fair,Medium,1,1,0,0,0,0,
USER_00133,control,Good,Medium,1,1,0,0,0,0,
USER_00134,control,Good,Medium,1,1,0,0,0,0,
USER_00135,treatment,Excellent,Low,1,1,1,0,0,0,
USER_00136,treatment,Good,Medium,1,1,1,1,1,1,7064.0
USER_00137,treatment,Good,High,1,1,1,0,0,0,
USER_00138,treatment,Good,High,1,1,0,0,0,0,
USER_00139,control,Good,Medium,1,1,0,0,0,0,
USER_00140,control,Good,High,1,1,1,0,0,0,
USER_00141,treatment,Excellent,High,1,1,1,0,0,0,
USER_00142,control,Good,Medium,1,1,0,0,0,0,
USER_00143,treatment,Good,Low,1,1,1,1,1,1,7280.0
USER_00144,treatment,Good,Low,1,1,1,1,1,1,13915.0
USER_00145,treatment,Excellent,Medium,1,1,0,0,0,0,
USER_00146,control,Good,Medium,1,1,1,1,1,1,13998.0
USER_00147,treatment,Fair,Low,1,1,1,0,0,0,
USER_00148,treatment,Excellent,Low,1,1,1,1,1,1,12882.0
USER_00149,control,Excellent,Low,1,1,0,0,0,0,
USER_00150,treatment,Good,Medium,1,1,1,0,0,0,
USER_00151,treatment,Excellent,Low,1,1,1,1,1,1,8459.0
USER_00152,treatment,Good,Medium,1,1,1,1,1,1,11483.0
USER_00153,treatment,Fair,High,1,1,1,0,0,0,
USER_00154,treatment,Good,Low,1,1,1,0,0,0,
USER_00155,treatment,Fair,Low,1,1,1,0,0,0,
USER_00156,control,Excellent,Medium,1,1,0,0,0,0,
USER_00157,control,Fair,Low,1,1,0,0,0,0,
USER_00158,treatment,Excellent,Medium,1,1,0,0,0,0,
USER_00159,treatment,Fair,Medium,1,1,1,0,0,0,
USER_00160,treatment,Excellent,High,1,1,1,1,1,1,19504.0
USER_00161,control,Good,Low,1,1,0,0,0,0,
USER_00162,treatment,Excellent,Low,1,1,1,0,0,0,
USER_00163,control,Fair,High,1,1,0,0,0,0,
USER_00164,treatment,Fair,High,1,1,1,0,0,0,
USER_00165,treatment,Excellent,Medium,1,1,0,0,0,0,
USER_00166,treatment,Excellent,Medium,1,1,0,0,0,0,
USER_00167,treatment,Fair,High,1,1,0,0,0,0,
USER_00168,control,Fair,Low,1,1,0,0,0,0,
USER_00169,treatment,Good,Low,1,1,1,1,1,1,11012.0
USER_00170,control,Good,Medium,1,1,0,0,0,0,
USER_00171,control,Good,Medium,1,1,1,0,0,0,
USER_00172,control,Good,High,1,1,0,0,0,0,
USER_00173,treatment,Excellent,High,1,1,1,1,1,1,11057.0
USER_00174,control,Fair,High,1,1,1,0,0,0,
USER_00175,control,Fair,High,1,1,1,0,0,0,
USER_00176,treatment,Poor,Medium,1,1,1,0,0,0,
USER_00177,control,Good,Medium,1,1,1,0,0,0,
USER_00178,treatment,Excellent,High,1,1,1,1,1,1,11998.0
USER_00179,control,Good,Medium,1,1,1,0,0,0,
USER_00180,control,Excellent,Medium,1,1,1,0,0,0,
USER_00181,control,Good,Medium,1,1,0,0,0,0,
USER_00182,control,Good,Medium,1,1,0,0,0,0,
USER_00183,control,Excellent,Medium,1,1,1,1,1,1,12510.0
USER_00184,control,Good,High,1,1,0,0,0,0,
