user_id,signup_date,credit_score_bucket,income_level,test_group
USER_00000,2024-01-11 00:00:00,Fair,Low,control
USER_00001,2024-01-30 00:00:00,Good,Medium,treatment
USER_00002,2024-01-29 00:00:00,Fair,Medium,treatment
USER_00003,2024-01-23 00:00:00,Fair,Medium,treatment
USER_00004,2024-01-18 00:00:00,Good,High,treatment
USER_00005,2024-01-22 00:00:00,Excellent,Low,treatment
USER_00006,2024-01-11 00:00:00,Good,Medium,treatment
USER_00007,2024-01-30 00:00:00,Excellent,Low,treatment
USER_00008,2024-01-02 00:00:00,Good,Low,control
USER_00009,2024-01-23 00:00:00,Good,Medium,treatment
USER_00010,2024-01-06 00:00:00,Poor,Low,treatment
USER_00011,2024-01-30 00:00:00,Fair,Medium,control
USER_00012,2024-01-26 00:00:00,Good,High,treatment
USER_00013,2024-01-21 00:00:00,Good,High,control
USER_00014,2024-01-28 00:00:00,Good,Low,treatment
USER_00015,2024-01-21 00:00:00,Poor,Medium,control
USER_00016,2024-01-05 00:00:00,Fair,Medium,control
USER_00017,2024-01-08 00:00:00,Fair,Medium,control
USER_00018,2024-01-11 00:00:00,Excellent,Medium,treatment
USER_00019,2024-01-04 00:00:00,Excellent,Medium,treatment
USER_00020,2024-01-22 00:00:00,Fair,High,treatment
USER_00021,2024-01-09 00:00:00,Excellent,High,treatment
USER_00022,2024-01-17 00:00:00,Good,Medium,treatment
USER_00023,2024-01-27 00:00:00,Excellent,Medium,control
USER_00024,2024-01-28 00:00:00,Fair,Medium,treatment
USER_00025,2024-01-06 00:00:00,Excellent,Medium,treatment
USER_00026,2024-01-14 00:00:00,Fair,Low,control
USER_00027,2024-01-29 00:00:00,Excellent,Low,treatment
USER_00028,2024-01-19 00:00:00,Fair,Low,control
USER_00029,2024-01-19 00:00:00,Good,Medium,control
USER_00030,2024-01-29 00:00:00,Excellent,Medium,treatment
USER_00031,2024-01-02 00:00:00,Excellent,Low,control
USER_00032,2024-01-27 00:00:00,Good,High,treatment
USER_00033,2024-01-21 00:00:00,Fair,Medium,treatment
USER_00034,2024-01-06 00:00:00,Good,Medium,control
USER_00035,2024-01-15 00:00:00,Good,High,control
USER_00036,2024-01-20 00:00:00,Excellent,High,control
USER_00037,2024-01-19 00:00:00,Good,Medium,control
USER_00038,2024-01-19 00:00:00,Excellent,Medium,control
USER_00039,2024-01-15 00:00:00,Fair,Medium,treatment
USER_00040,2024-01-14 00:00:00,Fair,Medium,treatment
USER_00041,2024-01-05 00:00:00,Excellent,Low,control
USER_00042,2024-01-24 00:00:00,Fair,Medium,treatment
USER_00043,2024-01-31 00:00:00,Poor,Medium,treatment
USER_00044,2024-01-15 00:00:00,Good,Medium,treatment
USER_00045,2024-01-10 00:00:00,Fair,Medium,treatment
USER_00046,2024-01-06 00:00:00,Excellent,Medium,treatment
USER_00047,2024-01-11 00:00:00,Good,High,control
USER_00048,2024-01-20 00:00:00,Good,Medium,treatment
USER_00049,2024-01-30 00:00:00,Good,Low,control
USER_00050,2024-01-31 00:00:00,Fair,Medium,treatment
USER_00051,2024-01-21 00:00:00,Excellent,Low,control
USER_00052,2024-01-20 00:00:00,Excellent,Medium,treatment
USER_00053,2024-01-02 00:00:00,Good,Medium,control
USER_00054,2024-01-11 00:00:00,Fair,Medium,treatment
USER_00055,2024-01-22 00:00:00,Fair,High,treatment
USER_00056,2024-01-27 00:00:00,Good,Medium,treatment
USER_00057,2024-01-13 00:00:00,Good,Low,treatment
USER_00058,2024-01-02 00:00:00,Poor,Low,treatment
USER_00059,2024-01-03 00:00:00,Fair,Low,control
USER_00060,2024-01-05 00:00:00,Excellent,Medium,control
USER_00061,2024-01-25 00:00:00,Excellent,Medium,control
USER_00062,2024-01-13 00:00:00,Poor,Medium,control
USER_00063,2024-01-17 00:00:00,Fair,Medium,control
USER_00064,2024-01-19 00:00:00,Fair,Low,treatment
USER_00065,2024-01-09 00:00:00,Good,Medium,control
USER_00066,2024-01-13 00:00:00,Fair,Medium,control
USER_00067,2024-01-31 00:00:00,Fair,Medium,control
USER_00068,2024-01-22 00:00:00,Good,High,treatment
USER_00069,2024-01-08 00:00:00,Excellent,Low,treatment
USER_00070,2024-01-02 00:00:00,Good,Medium,control
USER_00071,2024-01-23 00:00:00,Good,High,treatment
USER_00072,2024-01-03 00:00:00,Good,Medium,control
USER_00073,2024-01-03 00:00:00,Good,Medium,treatment
USER_00074,2024-01-12 00:00:00,Fair,Medium,control
USER_00075,2024-01-25 00:00:00,Fair,Low,control
USER_00076,2024-01-22 00:00:00,Excellent,High,control
USER_00077,2024-01-23 00:00:00,Fair,High,control
USER_00078,2024-01-08 00:00:00,Good,Medium,control
USER_00079,2024-01-26 00:00:00,Good,Medium,control
USER_00080,2024-01-03 00:00:00,Poor,Medium,control
USER_00081,2024-01-15 00:00:00,Excellent,Medium,treatment
USER_00082,2024-01-27 00:00:00,Fair,Medium,treatment
USER_00083,2024-01-07 00:00:00,Good,Medium,control
USER_00084,2024-01-11 00:00:00,Fair,Medium,treatment
USER_00085,2024-01-13 00:00:00,Good,High,control
USER_00086,2024-01-12 00:00:00,Good,Medium,control
USER_00087,2024-01-17 00:00:00,Good,High,control
USER_00088,2024-01-17 00:00:00,Excellent,Medium,treatment
USER_00089,2024-01-26 00:00:00,Excellent,High,control
USER_00090,2024-01-07 00:00:00,Fair,Low,control
USER_00091,2024-01-07 00:00:00,Good,Medium,treatment
USER_00092,2024-01-12 00:00:00,Poor,Medium,treatment
USER_00093,2024-01-29 00:00:00,Excellent,Medium,treatment
USER_00094,2024-01-17 00:00:00,Good,Medium,control
USER_00095,2024-01-07 00:00:00,Good,Medium,control
USER_00096,2024-01-07 00:00:00,Fair,High,control
USER_00097,2024-01-12 00:00:00,Excellent,Medium,control
USER_00098,2024-01-06 00:00:00,Excellent,Medium,control
USER_00099,2024-01-04 00:00:00,Poor,Medium,treatment
USER_00100,2024-01-23 00:00:00,Excellent,High,treatment
